network,station,location,channel,instrument_type,latitude,longitude,sample_rate_hz,start_date,end_date
KO,TKR,,HHE,broadband,40.9893,27.5351,100.0,2025-02-13T14:00:00.000000Z,
KO,TKR,,HHN,broadband,40.9893,27.5351,100.0,2025-02-13T14:00:00.000000Z,
KO,TKR,,HHZ,broadband,40.9893,27.5351,100.0,2025-02-13T14:00:00.000000Z,
KO,KUPE,,HNE,strong_motion,40.8766,36.0489,100.0,2013-12-06T00:00:00.000000Z,2016-01-25T00:00:00.000000Z
KO,KUPE,,HNN,strong_motion,40.8766,36.0489,100.0,2013-12-06T00:00:00.000000Z,2016-01-25T00:00:00.000000Z
KO,KUPE,,HNZ,strong_motion,40.8766,36.0489,100.0,2013-12-06T00:00:00.000000Z,2016-01-25T00:00:00.000000Z
KO,KOUK,,HNE,strong_motion,40.6572,29.1918,100.0,2021-06-20T00:00:00.000000Z,2025-05-28T12:30:00.000000Z
KO,KOUK,,HNN,strong_motion,40.6572,29.1918,100.0,2021-06-20T00:00:00.000000Z,2025-05-28T12:30:00.000000Z
KO,KOUK,,HNZ,strong_motion,40.6572,29.1918,100.0,2021-06-20T00:00:00.000000Z,2025-05-28T12:30:00.000000Z
KO,KOUK,,HNE,strong_motion,40.6572,29.1918,100.0,2025-05-28T12:30:00.000000Z,
KO,KOUK,,HNN,strong_motion,40.6572,29.1918,100.0,2025-05-28T12:30:00.000000Z,
KO,KOUK,,HNZ,strong_motion,40.6572,29.1918,100.0,2025-05-28T12:30:00.000000Z,
KO,DENT,,HNE,strong_motion,37.7539,29.0331,100.0,2011-10-07T00:00:00.000000Z,2014-05-08T00:00:00.000000Z
KO,DENT,,HNN,strong_motion,37.7539,29.0331,100.0,2011-10-07T00:00:00.000000Z,2014-05-08T00:00:00.000000Z
KO,DENT,,HNZ,strong_motion,37.7539,29.0331,100.0,2011-10-07T00:00:00.000000Z,2014-05-08T00:00:00.000000Z
KO,SVSK,,BHE,broadband,39.9157,36.9925,50.0,2003-08-27T00:00:00.000000Z,2005-08-04T11:00:00.000000Z
KO,SVSK,,BHN,broadband,39.9157,36.9925,50.0,2003-08-27T00:00:00.000000Z,2005-08-04T11:00:00.000000Z
KO,SVSK,,BHZ,broadband,39.9157,36.9925,50.0,2003-08-27T00:00:00.000000Z,2005-08-04T11:00:00.000000Z
KO,SVSK,,BHE,broadband,39.9157,36.9925,20.0,2005-08-04T11:00:00.000000Z,2009-06-05T10:00:00.000000Z
KO,SVSK,,BHN,broadband,39.9157,36.9925,20.0,2005-08-04T11:00:00.000000Z,2009-06-05T10:00:00.000000Z
KO,SVSK,,BHZ,broadband,39.9157,36.9925,20.0,2005-08-04T11:00:00.000000Z,2009-06-05T10:00:00.000000Z
KO,SVSK,,BHE,broadband,39.9157,36.9925,50.0,2009-06-05T10:00:00.000000Z,2022-11-30T09:00:00.000000Z
KO,SVSK,,BHN,broadband,39.9157,36.9925,50.0,2009-06-05T10:00:00.000000Z,2022-11-30T09:00:00.000000Z
KO,SVSK,,BHZ,broadband,39.9157,36.9925,50.0,2009-06-05T10:00:00.000000Z,2022-11-30T09:00:00.000000Z
KO,SVSK,,HHE,broadband,39.9157,36.9925,100.0,2022-11-30T09:00:00.000000Z,
KO,SVSK,,HHN,broadband,39.9157,36.9925,100.0,2022-11-30T09:00:00.000000Z,
KO,SVSK,,HHZ,broadband,39.9157,36.9925,100.0,2022-11-30T09:00:00.000000Z,
KO,ILIC,,BHE,broadband,39.4518,38.5675,50.0,2008-12-25T00:00:00.000000Z,2023-06-12T00:00:00.000000Z
KO,ILIC,,BHN,broadband,39.4518,38.5675,50.0,2008-12-25T00:00:00.000000Z,2023-06-12T00:00:00.000000Z
KO,ILIC,,BHZ,broadband,39.4518,38.5675,50.0,2008-12-25T00:00:00.000000Z,2023-06-12T00:00:00.000000Z
KO,GURO,,HHE,broadband,38.5509,42.0322,100.0,2011-10-25T00:00:00.000000Z,
KO,GURO,,HHN,broadband,38.5509,42.0322,100.0,2011-10-25T00:00:00.000000Z,
KO,GURO,,HHZ,broadband,38.5509,42.0322,100.0,2011-10-25T00:00:00.000000Z,
