network,station,latitude,longitude,elevation,start_date,channel_codes,instrument_types,has_strong_motion,vs30_ms,nehrp_site_class
KO,SEYD,37.4056,31.8379,1160.0,2014-02-04T00:00:00.000000Z,"EHE,EHN,EHZ,HNE,HNN,HNZ","broadband,strong_motion",True,382.0,C
KO,KOZK,39.2101,34.868,1134.0,2015-02-11T00:00:00.000000Z,"EHE,EHN,EHZ,HNE,HNN,HNZ","broadband,strong_motion",True,520.0,C
KO,IZI,40.3483,29.4612,910.0,2000-07-06T00:00:00.000000Z,"BNE,BNN,BNZ,HNE,HNN,HNZ",strong_motion,True,636.0,C
KO,TEKI,40.9862,27.5374,126.0,2022-12-16T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,564.0,C
KO,TOS,41.0362,34.0226,1046.0,2002-02-27T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,667.0,C
KO,YKAV,37.1246,27.2801,115.0,2011-04-18T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,462.0,C
KO,BLCB,38.3853,27.042,150.0,2004-10-05T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,646.0,C
KO,KTUT,40.987,39.7667,171.0,2006-08-17T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,646.0,C
KO,TVSB,39.4497,29.4615,1090.0,2009-02-12T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,579.0,C
KO,SLVT,41.2288,28.2098,180.0,2007-08-01T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ","broadband,strong_motion",True,466.0,C
KO,ERZN,39.5867,39.722,1317.0,2008-10-15T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,573.0,C
KO,KARA,37.2607,35.0547,366.0,2005-08-26T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,623.0,C
KO,ESKY,40.5918,28.9071,2.0,2021-06-20T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,642.0,C
KO,LAP,40.3703,26.7593,230.0,2002-10-08T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,484.0,C
KO,ESPY,40.9167,38.7273,430.0,2007-03-02T00:00:00.000000Z,"BHE,BHN,BHZ",broadband,False,546.0,C
KO,CTYL,41.476,28.2897,77.0,2007-09-29T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ","broadband,strong_motion",True,461.0,C
KO,HOPA,41.3867,41.4458,100.0,2012-03-22T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,588.0,C
KO,EZN,39.8255,26.3246,48.0,2001-11-27T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,448.0,C
KO,AKS,38.8785,27.8129,385.0,2003-06-25T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,541.0,C
